start_time	end_time	label
0.0	0.165	BG
0.27	0.51	BG
0.71	0.79	BG
0.879	1.039	BG
1.089	1.159	BG
1.379	1.489	BG
1.499	1.629	BG
1.669	1.789	BG
2.718	2.988	BG
3.008	3.078	BG
3.138	3.368	BG
3.558	3.648	BG
3.818	4.018	BG
4.038	4.218	BG
4.237	4.317	BG
4.357	4.537	BG
4.687	5.007	BG
5.087	5.187	BG
5.207	5.457	BG
5.587	6.327	BG
6.396	6.586	BG
6.606	6.876	BG
7.026	7.236	BG
7.256	7.496	BG
7.536	7.816	BG
7.835	8.055	BG
8.205	8.635	BG
8.655	8.805	BG
8.825	9.015	BG
9.035	9.155	BG
9.285	9.545	BG
9.584	9.664	BG
9.684	9.814	BG
9.834	9.934	BG
9.954	10.214	BG
10.234	10.484	BG
10.504	10.714	BG
10.774	11.154	BG
11.223	11.383	BG
11.453	11.693	BG
11.723	11.883	BG
11.903	12.123	BG
12.263	12.603	BG
12.623	12.703	BG
12.753	12.983	BG
13.052	13.252	BG
13.302	14.052	BG
14.142	14.262	BG
14.392	14.562	BG
14.801	14.931	BG
15.021	15.201	BG
15.241	15.551	BG
15.571	15.901	BG
15.941	16.181	BG
16.201	16.451	BG
16.58	16.8	BG
16.82	16.92	BG
16.94	17.02	BG
17.17	17.35	BG
17.47	17.83	BG
17.87	17.99	BG
18.159	18.409	BG
18.419	18.539	BG
18.819	19.149	BG
19.239	20.138	BG
20.158	20.238	BG
20.278	20.958	BG
21.068	21.408	BG
21.607	22.217	BG
22.377	22.817	BG
22.837	23.067	BG
23.086	23.266	BG
23.356	23.486	BG
23.506	23.596	BG
23.636	23.866	BG
24.036	24.146	BG
24.186	24.686	BG
24.815	25.035	BG
25.295	25.495	BG
25.565	26.035	BG
26.055	26.615	BG
26.634	26.764	BG
26.794	26.994	BG
27.034	27.494	BG
27.514	27.754	BG
27.794	28.584	BG
28.703	28.773	BG
28.803	29.233	BG
29.413	29.613	BG
29.673	29.883	BG
