Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0	165	165	1159	183
270	510	240	1165	188
710	790	80	925	208
879	1039	160	948	301
1089	1159	70	951	368
1379	1489	110	1023	572
1499	1629	130	1026	610
1669	1789	120	1038	602
2718	2988	270	1015	273
3008	3078	70	1011	285
3138	3368	230	942	209
3558	3648	90	933	153
3818	4018	200	977	151
4038	4218	180	978	196
4237	4317	80	956	233
4357	4537	180	952	252
4687	5007	320	1029	207
5087	5187	100	1020	225
5207	5457	250	1024	237
5587	6327	740	968	191
6396	6586	190	969	271
6606	6876	270	970	261
7026	7236	210	1000	343
7256	7496	240	966	375
7536	7816	280	956	398
7835	8055	220	969	411
8205	8635	430	996	402
8655	8805	150	988	394
8825	9015	190	973	353
9035	9155	120	962	339
9285	9545	260	1016	350
9584	9664	80	1016	324
9684	9814	130	994	323
9834	9934	100	973	319
9954	10214	260	974	299
10234	10484	250	968	241
10504	10714	210	979	211
10774	11154	380	964	213
11223	11383	160	999	206
11453	11693	240	1011	212
11723	11883	160	977	261
11903	12123	220	969	279
12263	12603	340	1001	226
12623	12703	80	1003	257
12753	12983	230	1009	278
13052	13252	200	1026	303
13302	14052	750	1029	312
14142	14262	120	1021	303
14392	14562	170	989	288
14801	14931	130	950	316
15021	15201	180	920	272
15241	15551	310	947	290
15571	15901	330	972	285
15941	16181	240	962	271
16201	16451	250	965	282
16580	16800	220	1267	281
16820	16920	100	1296	304
16940	17020	80	1267	301
17170	17350	180	1051	283
17470	17830	360	965	270
17870	17990	120	970	286
18159	18409	250	1407	349
18419	18539	120	1386	340
18819	19149	330	1405	353
19239	20138	899	1033	298
20158	20238	80	1061	293
20278	20958	680	1155	322
21068	21408	340	1053	281
21607	22217	610	1043	335
22377	22817	440	1018	394
22837	23067	230	1036	366
23086	23266	180	1017	349
23356	23486	130	965	304
23506	23596	90	970	283
23636	23866	230	955	300
24036	24146	110	989	369
24186	24686	500	984	415
24815	25035	220	1070	409
25295	25495	200	1014	411
25565	26035	470	1025	430
26055	26615	560	1040	410
26634	26764	130	967	357
26794	26994	200	920	317
27034	27494	460	1008	347
27514	27754	240	969	355
27794	28584	790	919	343
28703	28773	70	976	369
28803	29233	430	1015	438
29413	29613	200	989	380
29673	29883	210	1003	369
29923	30113	190	993	343
30152	30552	400	1037	305
30782	30882	100	977	331
30962	31382	420	994	322
31402	31732	330	1000	297
31791	32501	710	952	348
32541	32701	160	1010	330
32741	33081	340	1002	277
33151	33591	440	918	259
33610	33950	340	932	284
33970	34240	270	933	271
34330	34770	440	960	270
34790	35480	690	1000	270
35639	36199	560	919	281
36219	36319	100	937	286
36359	36769	410	935	275
36789	37039	250	938	265
37058	37158	100	944	278
37318	38048	730	946	281
38098	38438	340	1007	362
38478	38668	190	922	305
38707	38867	160	916	315
38967	39217	250	929	308
39237	39397	160	931	297
39537	40167	630	933	273
40187	40417	230	942	277
40456	40636	180	993	284
40656	40736	80	982	311
40976	41276	300	961	285
41426	42086	660	934	325
42105	42755	650	936	306
42775	43405	630	916	309
43425	43875	450	947	293
44074	44644	570	942	285
44794	44874	80	954	297
44894	45704	810	942	318
45743	47072	1329	930	318
47272	47412	140	990	369
47462	49091	1629	885	324
49151	49951	800	888	325
49981	50081	100	936	357
50171	51630	1459	934	354
51670	53569	1899	930	362
53659	55258	1599	878	312
55298	56757	1459	966	398
56777	58136	1359	962	404
58176	58556	380	975	401
58706	58946	240	968	414
59065	62773	3708	968	322
62793	63153	360	957	355
63193	65182	1989	966	333
65382	65722	340	912	341
65792	66052	260	925	334
66091	66331	240	939	340
66391	66551	160	952	317
66641	67201	560	952	334
67221	67601	380	932	308
67620	68140	520	944	389
68160	68300	140	948	366
68510	68610	100	945	380
68820	68950	130	936	334
68990	69490	500	928	315
69709	70239	530	953	286
70259	70799	540	936	275
70819	71698	879	919	278
71728	71888	160	883	289
71988	73257	1269	866	304
73347	73417	70	1027	308
73497	73977	480	1026	307
74157	74307	150	993	393
74327	75226	899	1015	395
75426	75756	330	968	311
75776	75986	210	935	331
76046	76706	660	885	331
76725	77005	280	900	321
77035	77655	620	943	292
77675	77785	110	951	278
77805	78285	480	970	282
78394	78554	160	1049	274
78634	78904	270	1084	276
78924	79344	420	1088	240
79454	80104	650	1052	259
80143	80983	840	1038	275
81123	81513	390	991	285
81592	82082	490	898	343
82102	82362	260	879	351
82402	83062	660	897	315
83101	83371	270	830	332
83391	83501	110	841	346
83521	83651	130	863	350
83671	84001	330	874	349
84061	84421	360	991	332
84571	86190	1619	996	322
86240	86660	420	1011	312
86719	86889	170	1073	302
86909	87519	610	1055	313
87589	87709	120	978	370
88138	88368	230	1065	349
88388	88748	360	1080	323
88808	89158	350	1085	307
89208	89638	430	1046	312
89708	89938	230	1014	374
90077	90167	90	944	319
90187	90617	430	959	305
90637	90957	320	979	296
90967	91307	340	1002	299
91327	92606	1279	990	300
92686	92776	90	981	299
92896	93626	730	970	294
93685	93835	150	1002	281
93885	94175	290	1006	256
94195	94355	160	991	239
94375	95065	690	988	223
95204	95754	550	973	233
96054	96454	400	1000	259
97053	97273	220	934	235
97393	97693	300	962	242
97753	98273	520	943	228
98452	98962	510	1094	296
99002	99362	360	1083	309
99422	99582	160	932	267
99692	100062	370	926	280
100171	100481	310	933	325
100541	100921	380	929	412
100991	101551	560	936	383
101641	101761	120	930	368
101810	101880	70	934	316
101990	102090	100	935	314
102130	102440	310	955	238
102490	102590	100	1049	232
102750	102870	120	1092	246
102960	103050	90	1115	250
103070	103220	150	1083	244
103240	103770	530	1074	248
103819	104139	320	1089	250
104219	104979	760	1095	256
105768	105848	80	1082	280
105898	106028	130	1158	207
106068	106338	270	1151	217
106548	106848	300	1041	277
106888	107168	280	968	279
107237	107457	220	929	233
107497	107907	410	1043	211
107967	108427	460	992	212
108646	108756	110	920	362
108806	109026	220	931	258
109046	109646	600	917	240
109706	111135	1429	928	262
111205	112045	840	917	281
112084	112184	100	991	340
112224	112374	150	996	345
112454	113034	580	957	232
113144	113634	490	893	284
113724	113864	140	918	287
113913	114982	1069	1001	221
115023	115363	340	1049	237
115462	115662	200	1041	213
115702	116272	570	1043	237
116292	116882	590	1075	226
116902	117032	130	1100	217
117042	117572	530	1080	237
117651	117821	170	1100	243
117841	118121	280	1115	245
118221	118431	210	1121	244
118471	118721	250	1117	253
118890	118980	90	1167	254
119010	119110	100	1118	265
119200	119420	220	941	349
119580	119720	140	966	239
119740	120210	470	964	224
120250	121090	840	886	254
121109	121649	540	899	257
121689	122349	660	891	350
122368	122818	450	893	328
122828	123468	640	919	324
123508	123668	160	878	327
123688	123908	220	888	337
124067	124567	500	885	326
124627	125017	390	898	318
125077	125367	290	1065	415
125437	125587	150	934	285
125607	125917	310	931	274
125956	126416	460	898	374
126606	127236	630	934	272
127276	127646	370	927	342
127675	128085	410	949	298
128125	128415	290	974	295
128435	128635	200	987	295
128655	129624	969	1004	300
129674	129954	280	994	297
130024	130194	170	1003	275
130234	130534	300	1003	267
130604	130954	350	1081	234
130993	131553	560	1108	216
131653	132373	720	1066	229
132423	132633	210	1151	238
132672	132912	240	1155	210
133002	133082	80	1244	224
133162	133262	100	1186	203
133282	133532	250	1144	218
133552	133852	300	1127	215
133882	134052	170	1060	177
134122	134272	150	1062	167
134351	134601	250	1091	179
134621	134881	260	1099	191
134901	135371	470	1124	188
135401	135521	120	1168	203
135551	135991	440	1089	225
136010	136100	90	1104	224
136160	136340	180	1115	230
136500	136730	230	901	202
136860	138249	1389	924	168
138439	138649	210	912	357
138739	138869	130	914	361
139039	139549	510	920	377
139578	139768	190	890	447
139848	140008	160	883	365
140058	140438	380	915	266
140458	141088	630	894	260
141117	141397	280	934	268
141447	141767	320	901	387
141787	141907	120	883	373
142067	142387	320	875	365
142437	144356	1919	928	259
144515	144615	100	791	347
144655	144815	160	807	345
144835	145195	360	811	313
145225	145865	640	860	294
145905	146974	1069	973	267
147034	147244	210	810	310
147304	148104	800	956	270
148143	148223	80	1019	297
148243	148783	540	1023	287
148963	149313	350	962	269
149373	149563	190	1044	198
149582	150751	1169	1062	185
150932	151212	280	1062	194
151262	151432	170	801	243
151481	151841	360	820	191
151891	152191	300	926	257
152221	153140	919	979	265
153320	153590	270	858	381
153620	153950	330	912	369
154120	154620	500	940	197
154640	155170	530	969	200
155219	156628	1409	948	291
156688	157488	800	943	284
157508	157758	250	925	295
157778	157888	110	912	303
157928	158108	180	910	314
158127	158547	420	916	331
158707	158887	180	987	343
158907	159097	190	982	360
159187	159537	350	956	337
159657	159837	180	1086	427
159876	160156	280	1087	440
160226	160326	100	1018	375
160476	160586	110	958	325
160596	160686	90	945	321
160746	160986	240	974	270
161006	161096	90	987	280
161176	161616	440	980	266
161635	162255	620	972	291
162385	162555	170	959	183
162955	163355	400	972	287
163374	163464	90	995	292
163504	163584	80	1048	282
163674	163794	120	1049	285
163824	164124	300	1107	277
164194	164404	210	1096	262
164434	164534	100	1163	262
164554	164804	250	1187	266
164834	165024	190	1131	286
165073	165243	170	1054	434
165313	165453	140	1015	430
165593	165663	70	984	419
165703	165923	220	986	411
165993	166163	170	987	329
166493	166673	180	961	299
166692	166802	110	955	272
166822	167182	360	941	250
167222	167432	210	930	250
167562	168072	510	891	256
168092	168202	110	921	248
168222	168562	340	949	240
168571	168731	160	991	240
168861	169051	190	1054	238
169091	169171	80	952	245
169191	169981	790	941	237
170210	170390	180	943	290
170490	170860	370	883	267
171470	171550	80	902	266
172179	172269	90	919	458
172289	172369	80	913	474
172389	172519	130	924	486
172539	172609	70	929	503
172719	172969	250	938	527
173139	173229	90	927	440
173359	173429	70	918	281
173438	173908	470	923	195
173928	174088	160	940	227
174108	174238	130	928	262
174258	174448	190	894	318
174688	174808	120	881	403
174828	175058	230	871	388
175078	175148	70	881	407
175507	175597	90	998	346
175777	176017	240	901	317
176037	176147	110	908	287
176187	176277	90	921	282
176527	176727	200	754	477
176747	176987	240	835	443
177046	177566	520	910	449
177586	177736	150	917	440
177766	178256	490	954	475
178276	178496	220	937	494
178526	178706	180	966	494
178725	178935	210	951	487
179475	179615	140	902	246
179685	179785	100	890	275
179805	179915	110	872	282
179935	180844	909	894	324
180904	181254	350	902	346
181284	181474	190	947	352
181494	181904	410	928	362
181924	182114	190	909	357
182203	182603	400	892	363
182763	183393	630	905	365
183473	183983	510	914	378
184142	185361	1219	919	377
185401	185601	200	898	362
185691	186201	510	881	279
186721	186801	80	969	202
186821	186941	120	940	208
186961	187141	180	914	215
187380	187780	400	740	452
187820	188060	240	790	439
188210	188340	130	882	428
188360	188550	190	895	433
188650	188730	80	1261	131
189169	189459	290	945	226
189889	189989	100	863	332
190009	190139	130	880	324
190189	190549	360	839	365
190568	190668	100	846	398
190688	191877	1189	846	403
192008	192438	430	880	404
192457	192617	160	887	431
