Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0	165	165	1159	183
10	165	165	1159	183
20	165	165	1159	183
30	165	165	1159	183
40	165	165	1159	183
50	165	165	1159	183
60	165	165	1159	183
70	165	165	1159	183
80	165	165	1159	183
90	165	165	1159	183
100	165	165	1159	183
110	165	165	1159	183
120	165	165	1159	183
130	165	165	1159	183
140	165	165	1159	183
150	165	165	1159	183
160	165	165	1159	183
270	240	240	1165	188
280	240	240	1165	188
290	240	240	1165	188
300	240	240	1165	188
310	240	240	1165	188
320	240	240	1165	188
330	240	240	1165	188
340	240	240	1165	188
350	240	240	1165	188
360	240	240	1165	188
370	240	240	1165	188
380	240	240	1165	188
390	240	240	1165	188
400	240	240	1165	188
410	240	240	1165	188
420	240	240	1165	188
430	240	240	1165	188
440	240	240	1165	188
450	240	240	1165	188
460	240	240	1165	188
470	240	240	1165	188
480	240	240	1165	188
490	240	240	1165	188
500	240	240	1165	188
710	80	80	925	208
720	80	80	925	208
730	80	80	925	208
740	80	80	925	208
750	80	80	925	208
760	80	80	925	208
770	80	80	925	208
780	80	80	925	208
879	160	160	948	301
889	160	160	948	301
899	160	160	948	301
909	160	160	948	301
919	160	160	948	301
929	160	160	948	301
939	160	160	948	301
949	160	160	948	301
959	160	160	948	301
969	160	160	948	301
979	160	160	948	301
989	160	160	948	301
999	160	160	948	301
1009	160	160	948	301
1019	160	160	948	301
1029	160	160	948	301
1089	70	70	951	368
1099	70	70	951	368
1109	70	70	951	368
1119	70	70	951	368
1129	70	70	951	368
1139	70	70	951	368
1149	70	70	951	368
1379	110	110	1023	572
1389	110	110	1023	572
1399	110	110	1023	572
1409	110	110	1023	572
1419	110	110	1023	572
1429	110	110	1023	572
1439	110	110	1023	572
1449	110	110	1023	572
1459	110	110	1023	572
1469	110	110	1023	572
1479	110	110	1023	572
1499	130	130	1026	610
1509	130	130	1026	610
1519	130	130	1026	610
1529	130	130	1026	610
1539	130	130	1026	610
1549	130	130	1026	610
1559	130	130	1026	610
1569	130	130	1026	610
1579	130	130	1026	610
1589	130	130	1026	610
1599	130	130	1026	610
1609	130	130	1026	610
1619	130	130	1026	610
1669	120	120	1038	602
1679	120	120	1038	602
1689	120	120	1038	602
1699	120	120	1038	602
1709	120	120	1038	602
1719	120	120	1038	602
1729	120	120	1038	602
1739	120	120	1038	602
1749	120	120	1038	602
1759	120	120	1038	602
1769	120	120	1038	602
1779	120	120	1038	602
2718	270	270	1015	273
2728	270	270	1015	273
2738	270	270	1015	273
2748	270	270	1015	273
2758	270	270	1015	273
2768	270	270	1015	273
2778	270	270	1015	273
2788	270	270	1015	273
2798	270	270	1015	273
2808	270	270	1015	273
2818	270	270	1015	273
2828	270	270	1015	273
2838	270	270	1015	273
2848	270	270	1015	273
2858	270	270	1015	273
2868	270	270	1015	273
2878	270	270	1015	273
2888	270	270	1015	273
2898	270	270	1015	273
2908	270	270	1015	273
2918	270	270	1015	273
2928	270	270	1015	273
2938	270	270	1015	273
2948	270	270	1015	273
2958	270	270	1015	273
2968	270	270	1015	273
2978	270	270	1015	273
3008	70	70	1011	285
3018	70	70	1011	285
3028	70	70	1011	285
3038	70	70	1011	285
3048	70	70	1011	285
3058	70	70	1011	285
3068	70	70	1011	285
3138	230	230	942	209
3148	230	230	942	209
3158	230	230	942	209
3168	230	230	942	209
3178	230	230	942	209
3188	230	230	942	209
3198	230	230	942	209
3208	230	230	942	209
3218	230	230	942	209
3228	230	230	942	209
3238	230	230	942	209
3248	230	230	942	209
3258	230	230	942	209
3268	230	230	942	209
3278	230	230	942	209
3288	230	230	942	209
3298	230	230	942	209
3308	230	230	942	209
3318	230	230	942	209
3328	230	230	942	209
3338	230	230	942	209
3348	230	230	942	209
3358	230	230	942	209
3558	90	90	933	153
3568	90	90	933	153
3578	90	90	933	153
3588	90	90	933	153
3598	90	90	933	153
3608	90	90	933	153
3618	90	90	933	153
3628	90	90	933	153
3638	90	90	933	153
3818	200	200	977	151
3828	200	200	977	151
3838	200	200	977	151
3848	200	200	977	151
3858	200	200	977	151
3868	200	200	977	151
3878	200	200	977	151
3888	200	200	977	151
3898	200	200	977	151
3908	200	200	977	151
3918	200	200	977	151
3928	200	200	977	151
3938	200	200	977	151
3948	200	200	977	151
3958	200	200	977	151
3968	200	200	977	151
3978	200	200	977	151
3988	200	200	977	151
3998	200	200	977	151
4008	200	200	977	151
4038	180	180	978	196
4048	180	180	978	196
4058	180	180	978	196
4068	180	180	978	196
4078	180	180	978	196
4088	180	180	978	196
4098	180	180	978	196
4108	180	180	978	196
4118	180	180	978	196
4128	180	180	978	196
4138	180	180	978	196
4148	180	180	978	196
4158	180	180	978	196
4168	180	180	978	196
4178	180	180	978	196
4188	180	180	978	196
4198	180	180	978	196
4208	180	180	978	196
4237	80	80	956	233
4247	80	80	956	233
4258	80	80	956	233
4268	80	80	956	233
4277	80	80	956	233
4287	80	80	956	233
4297	80	80	956	233
4307	80	80	956	233
4357	180	180	952	252
4367	180	180	952	252
4377	180	180	952	252
4387	180	180	952	252
4397	180	180	952	252
4407	180	180	952	252
4417	180	180	952	252
4427	180	180	952	252
4437	180	180	952	252
4447	180	180	952	252
4457	180	180	952	252
4467	180	180	952	252
4477	180	180	952	252
4487	180	180	952	252
4497	180	180	952	252
4507	180	180	952	252
4517	180	180	952	252
4527	180	180	952	252
4687	320	320	1029	207
4697	320	320	1029	207
4707	320	320	1029	207
4717	320	320	1029	207
4727	320	320	1029	207
4737	320	320	1029	207
4747	320	320	1029	207
4757	320	320	1029	207
4767	320	320	1029	207
4777	320	320	1029	207
4787	320	320	1029	207
4797	320	320	1029	207
4807	320	320	1029	207
4817	320	320	1029	207
4827	320	320	1029	207
4837	320	320	1029	207
4847	320	320	1029	207
4857	320	320	1029	207
4867	320	320	1029	207
4877	320	320	1029	207
4887	320	320	1029	207
4897	320	320	1029	207
4907	320	320	1029	207
4917	320	320	1029	207
4927	320	320	1029	207
